peak_load,beta,policy,accuracy,mean_confidence,comm_MB_per_1k_queries,J_per_query,forwarded_on_arrival,skipped_on_escalation,olt_rate_error,final_user,final_onu,final_olt,J_stepwise_same_accuracy,saving_same_accuracy
2.0,0.1,stepwise,0.5034732272069464,0.8758970676955566,0.25553449107573567,35.375856406753094,0.0,0.0,nan,0.8995176073323685,0.09064158224794983,0.009840810419681621,35.375856406753094,0.0
2.0,0.1,skip_onu,0.5336870879562631,0.8794798315324287,0.43443010130246024,45.25335880779129,0.0,0.10048239266763145,nan,0.8995176073323685,0.0,0.10048239266763145,51.66913327493339,0.12417035201661941
2.0,0.1,schedule,0.5141341051616015,0.877182486228439,0.31975922173982957,34.82443505622377,0.0,0.035648818137964305,nan,0.8995176073323685,0.05846599131693198,0.04201640135069947,41.12489449275816,0.1532030541171081
2.0,0.1,broadcast,0.5159832770541888,0.8775574234547243,0.34233117864608464,34.36271363496065,0.008055957549445249,0.03185399581926355,0.1971040962638762,0.8921369995176074,0.0612638687891944,0.046599131693198265,42.122088127585606,0.18421153455455996
2.0,0.1,piggyback,0.5046470493648496,0.8760893288234324,0.26499167068660556,35.624292704033145,0.0001447178002894356,0.004775687409551374,0.9513429845004879,0.8994050490432546,0.08620356970574047,0.014391381251004984,36.00885758364354,0.010679730083552497
2.0,0.1,oracle,0.5155812831644959,0.8774461584040772,0.336412831644959,33.361973597454345,0.00726804952564721,0.030165621482553466,nan,0.8929409872969931,0.06274320630326419,0.044315806399742724,41.905306902623124,0.20387234783940922
2.0,0.2,stepwise,0.5512301013024602,0.8839528404538392,0.5536737417591253,61.12946593229616,0.0,0.0,nan,0.7993407300209037,0.16058851905451038,0.040070750924585945,61.12946593229616,0.0
2.0,0.2,skip_onu,0.598761858819746,0.8891920084021471,0.8563206946454414,74.17144986907888,0.0,0.2006592699790963,nan,0.7993407300209037,0.0,0.2006592699790963,96.93526134279894,0.23483519988891144
2.0,0.2,schedule,0.5743367100820067,0.8865345515021166,0.7013183470011257,59.0421552780222,0.0,0.09831162566328992,nan,0.7993407300209037,0.08208715227528542,0.1185721177038109,78.2817549594422,0.24577373988853524
2.0,0.2,broadcast,0.5742563113040682,0.8867148331884772,0.7163028782762502,57.40750575015711,0.011111111111111112,0.08231226885351342,0.19687870683493183,0.790464704936485,0.0929570670525808,0.11657822801093423,78.2220740651237,0.26609583757185284
2.0,0.2,piggyback,0.5589323042289758,0.8847937821063344,0.6022320630326419,61.668300004106506,0.0009004663129120438,0.03014954172696575,0.9976052579347217,0.7986814600418074,0.13622768933912205,0.06509085061907059,66.84689560801156,0.07746950036800826
2.0,0.2,oracle,0.574320630326419,0.8866739455238812,0.7132410033767488,56.64290123761431,0.010355362598488503,0.08109020742884708,nan,0.7910274963820549,0.09393793214343142,0.11503457147451358,78.2698187805785,0.27631234976527874
2.0,0.3,stepwise,0.5941148094548963,0.8915612988874885,0.8963268371120758,92.96325496180106,0.0,0.0,nan,0.7000160797555877,0.2104518411320148,0.0895320791123975,92.96325496180106,0.0
2.0,0.3,skip_onu,0.6491236533204695,0.897679561780608,1.2764138929088278,102.49749025887422,0.0,0.2999839202444123,nan,0.7000160797555877,0.0,0.2999839202444123,140.02424093592856,0.268001814730248
2.0,0.3,schedule,0.6285576459237819,0.8953749453528794,1.13246210001608,88.78748005360657,0.0,0.18621964946132818,nan,0.7000160797555877,0.07985206624859302,0.22013185399581928,122.40283166802023,0.2746288721945983
2.0,0.3,broadcast,0.626017044540923,0.8953029701492736,1.1355292812349254,85.08451234221849,0.016739025566811384,0.14605242000321594,0.1980463029600592,0.688261778420968,0.10458273034249879,0.2071554912365332,120.2312849268519,0.29232634921947753
2.0,0.3,piggyback,0.6126386878919441,0.8936576162125222,1.027989387361312,90.72337454845596,0.0019617301817012383,0.09805434957388648,1.021822356688609,0.6986332207750442,0.14103553625984885,0.16033124296510692,108.7963046189274,0.1661171317700001
2.0,0.3,oracle,0.6268531918314841,0.8953478168801592,1.1380859302138608,83.5491281378086,0.016513908988583372,0.14833574529667148,nan,0.6885351342659591,0.10284611673902556,0.20861874899501529,120.94597119609715,0.3092028836384698
2.0,0.4,stepwise,0.638880849011095,0.8995892274981788,1.271857790641582,131.2264582998562,0.0,0.0,nan,0.6001929570670526,0.2398938736131211,0.15991316931982633,131.2264582998562,0.0
2.0,0.4,skip_onu,0.6955137481910275,0.905447639867653,1.6911394114809455,131.4433169281741,0.0,0.39980704293294744,nan,0.6001929570670526,0.0,0.39980704293294744,180.45186720974817,0.2715879366579731
2.0,0.4,schedule,0.6817012381411802,0.9040092136569047,1.589845087634668,121.20625609600884,0.0,0.30291043576137644,nan,0.6001929570670526,0.05820871522752854,0.34159832770541887,168.00588555238468,0.2785594641670074
2.0,0.4,broadcast,0.6778260170445409,0.9037556664144344,1.5741954655089243,116.44592745839795,0.019376105483196654,0.2366136034732272,0.19728136596494003,0.58859945328831,0.09358417752050169,0.3178163691911883,164.67736810294448,0.2928844515804728
2.0,0.4,piggyback,0.6692233478051134,0.9027123349498537,1.4967366457629845,124.3739092936786,0.001222061424666345,0.21199549766843545,1.0969156003780796,0.5995015275767809,0.1125904486251809,0.28790802379803826,157.28833559070165,0.20926171145121353
2.0,0.4,oracle,0.6789998392024441,0.9038646800913507,1.5820735488020583,115.06039687665383,0.01802540601382859,0.24679208876025086,nan,0.5894195208232835,0.08802058208715227,0.32255989708956423,165.6855912307832,0.30554977036967335
