peak_load,beta,policy,accuracy,mean_confidence,comm_MB_per_1k_queries,J_per_query,forwarded_on_arrival,skipped_on_escalation,olt_rate_error,final_user,final_onu,final_olt,J_stepwise_same_accuracy,saving_same_accuracy
2.0,0.1,stepwise,0.5034732272069464,0.8758970676955566,0.25553449107573567,55.393302827266695,0.0,0.0,nan,0.8995176073323685,0.09064158224794983,0.009840810419681621,55.393302827266695,0.0
2.0,0.1,skip_onu,0.5336870879562631,0.8794798315324287,0.43443010130246024,109.99650392899349,0.0,0.10048239266763145,nan,0.8995176073323685,0.0,0.10048239266763145,92.52480302790099,-0.18883261924722916
2.0,0.1,schedule,0.5034732272069464,0.8758970676955566,0.25553449107573567,55.393302827266695,0.0,0.0,nan,0.8995176073323685,0.09064158224794983,0.009840810419681621,55.393302827266695,0.0
2.0,0.1,broadcast,0.5036822640295867,0.8759269463145155,0.25686235729216916,55.38651761864043,0.0,0.000723589001447178,0.062325218815908585,0.8995176073323685,0.08995015275767808,0.010532239909953368,55.65019984834611,0.004738208136255473
2.0,0.1,piggyback,0.5035053867181218,0.8759056694837819,0.255837948223187,55.47094034889244,0.0,0.0001447178002894356,0.24081505453646698,0.8995176073323685,0.09048078469207269,0.010001607975558772,55.432825445894274,-0.0006875872317815279
2.0,0.1,oracle,0.5036340247628236,0.875922861491491,0.25672461810580477,55.35817243127524,0.0,0.0006431902235086027,nan,0.8995176073323685,0.09003055153561666,0.010451841132014793,55.59091592040474,0.004186718014553725
2.0,0.2,stepwise,0.5512301013024602,0.8839528404538392,0.5536737417591253,114.08439148925912,0.0,0.0,nan,0.7993407300209037,0.16058851905451038,0.040070750924585945,114.08439148925912,0.0
2.0,0.2,skip_onu,0.598761858819746,0.8891920084021471,0.8563206946454414,202.50384018623856,0.0,0.2006592699790963,nan,0.7993407300209037,0.0,0.2006592699790963,202.1888645280335,-0.0015578289088289399
2.0,0.2,schedule,0.5512301013024602,0.8839528404538392,0.5536737417591253,114.08439148925912,0.0,0.0,nan,0.7993407300209037,0.16058851905451038,0.040070750924585945,114.08439148925912,0.0
2.0,0.2,broadcast,0.5519054510371443,0.8840224138617847,0.5576435761376427,114.00837288605192,0.0,0.0024923621160958353,0.06225564107469381,0.7993407300209037,0.15851423058369513,0.04214503939540119,115.31335900289757,0.01131686847152602
2.0,0.2,piggyback,0.5513265798359865,0.8839676074565012,0.5545133301173822,114.2380392289351,0.0,0.00041807364528059174,0.23136278023185444,0.7993407300209037,0.16020260492040522,0.04045666505869111,114.25995827692184,0.00019183490277163706
2.0,0.2,oracle,0.5518732915259688,0.8840227833192214,0.5575957549445248,113.9799317716119,0.0,0.00247628236050812,nan,0.7993407300209037,0.15851423058369513,0.04214503939540119,115.2548367403432,0.011061617931085288
2.0,0.3,stepwise,0.5941148094548963,0.8915612988874885,0.8963268371120758,192.12382860529462,0.0,0.0,nan,0.7000160797555877,0.2104518411320148,0.0895320791123975,192.12382860529462,0.0
2.0,0.3,skip_onu,0.6491236533204695,0.897679561780608,1.2764138929088278,292.2853630783468,0.0,0.2999839202444123,nan,0.7000160797555877,0.0,0.2999839202444123,312.07489159531235,0.0634127545981108
2.0,0.3,schedule,0.5942273677440103,0.8915720312915619,0.896965332046953,192.18536052201776,0.0,0.0005467116899823122,nan,0.7000160797555877,0.21008200675349734,0.08990191349091493,192.3676184027313,0.0009474457407481207
2.0,0.3,broadcast,0.5957549445248432,0.8917129493845143,0.9057568419360026,191.73610477283253,0.0,0.007686123170927802,0.06229178411670755,0.7000160797555877,0.20509728252130568,0.09488663772310661,195.67619422508486,0.020135762900826193
2.0,0.3,piggyback,0.5942273677440103,0.8915761915986797,0.8976264672776973,191.97961576810945,0.0,0.00123814118025406,0.22487201600978027,0.7000160797555877,0.20972825213056762,0.09025566811384467,192.3676184027313,0.0020169851757978474
2.0,0.3,oracle,0.5952886316127994,0.8916723363354924,0.9033381894195209,191.53067553225415,0.0,0.005772632255989709,nan,0.7000160797555877,0.20656054027978774,0.09342337996462453,194.6662079214189,0.01610722488841243
2.0,0.4,stepwise,0.638880849011095,0.8995892274981788,1.271857790641582,289.0825137572136,0.0,0.0,nan,0.6001929570670526,0.2398938736131211,0.15991316931982633,289.0825137572136,0.0
2.0,0.4,skip_onu,0.6955137481910275,0.905447639867653,1.6911394114809455,382.9085461626665,0.0,0.39980704293294744,nan,0.6001929570670526,0.0,0.39980704293294744,418.60535054933536,0.08527555689344146
2.0,0.4,schedule,0.6448785978453128,0.9002676009179162,1.318057372567937,294.9406574432352,0.0,0.04507155491236533,nan,0.6001929570670526,0.21296028300369835,0.18684675992924907,302.54586844106115,0.025137381769625877
2.0,0.4,broadcast,0.6428525486412606,0.8999404615883346,1.297613378356649,289.05550117005816,0.0,0.024666345071554914,0.062293282834205696,0.6001929570670526,0.22516481749477407,0.17464222543817334,297.99792557198657,0.030008344470063175
2.0,0.4,piggyback,0.640295867502814,0.899738905025273,1.2832916546068498,290.4988099003486,0.0,0.011062871844347967,0.2177325179504287,0.6001929570670526,0.23325293455539475,0.16655410837755266,292.2588548086308,0.006022212430260465
2.0,0.4,oracle,0.644074610065927,0.90010429050022,1.3098404566650586,290.12825289582617,0.0,0.036645762984402634,nan,0.6001929570670526,0.2181540440585303,0.1816529988744171,300.74112920730147,0.035289075157258654
2.0,0.5,stepwise,0.6883260974433189,0.9072012726291585,1.6687214021546872,400.07397663343596,0.0,0.0,nan,0.49942112879884226,0.2502974754783727,0.250281395722785,400.07397663343596,0.0
2.0,0.5,skip_onu,0.7429329474191992,0.9125133174041131,2.10626512301013,474.85141860103715,0.0,0.5005788712011577,nan,0.49942112879884226,0.0,0.5005788712011577,542.6338403749326,0.1249137387507222
2.0,0.5,schedule,0.7189580318379161,0.9102420236256475,1.917792699790963,434.4164534801712,0.0,0.28429007879080237,nan,0.49942112879884226,0.10770220292651551,0.39287666827464224,479.04996614079226,0.09317089200566464
2.0,0.5,broadcast,0.7057887120115774,0.908750377146825,1.7996191670686605,405.60421734348955,0.0,0.15055475156777617,0.06275110275264799,0.49942112879884226,0.17541405370638366,0.3251648174947741,445.0965092344801,0.08872748060620206
2.0,0.5,piggyback,0.7039395401189902,0.9086745420122148,1.790959864930053,414.8800983654562,0.0,0.14040842579192797,0.2082339327073638,0.49942112879884226,0.18017366136034732,0.32040520984081045,440.3289298154008,0.05779504758093801
2.0,0.5,oracle,0.7092136999517608,0.9091678840166187,1.832864319022351,409.35898468392327,0.0,0.1890979257115292,nan,0.49942112879884226,0.15607010773436245,0.3445087634667953,453.9268954628617,0.09818301410294994
2.0,0.6,stepwise,0.7376587875864287,0.9144656981797115,2.099630615854639,527.2647040920024,0.0,0.0,nan,0.4005145521788069,0.24021546872487537,0.35926997909631775,527.2647040920024,0.0
2.0,0.6,skip_onu,0.7833252934555395,0.9187819448521916,2.514530696253417,563.4901078162792,0.0,0.5994854478211931,nan,0.4005145521788069,0.0,0.5994854478211931,660.3389328832268,0.1466653263106541
2.0,0.6,schedule,0.7822479498311625,0.9186866625430037,2.504785624698505,560.8816877801693,0.0,0.5854478211931179,nan,0.4005145521788069,0.005595754944524843,0.5938896928766683,657.1995056547013,0.14655795849782383
2.0,0.6,broadcast,0.7750763788390417,0.9180153547629859,2.442689306962534,548.2452509469954,0.0,0.4945650426113523,0.06273540943335949,0.4005145521788069,0.04200032159511175,0.5574851262260814,636.3012288797416,0.13838725109454175
2.0,0.6,piggyback,0.7813957227850137,0.9186063993688738,2.4974056600739667,562.3184541209409,0.0,0.5743688695931822,0.1809526960021095,0.4005145521788069,0.010082006753497347,0.5894034410676958,654.7160781455694,0.1411262486272482
2.0,0.6,oracle,0.7808007718282682,0.9185465746831154,2.491727190866699,558.6427490209378,0.0,0.5670043415340087,nan,0.4005145521788069,0.013040681781636919,0.5864447660395562,652.9823646014585,0.14447498231916256
2.0,0.7,stepwise,0.788712011577424,0.9213175974271887,2.5633470976041166,676.0360690258535,0.0,0.0,nan,0.30091654606849977,0.20979257115291847,0.4892908827785818,676.0360690258535,0.0
2.0,0.7,skip_onu,0.8256954494291687,0.9245233087950754,2.9246105804791767,655.059393144705,0.0,0.6990834539315003,nan,0.30091654606849977,0.0,0.6990834539315003,812.2623246184853,0.19353714521674703
2.0,0.7,schedule,0.8251969770059495,0.9244800558102928,2.9194480784692076,653.8742201616523,0.0,0.6899983920244412,nan,0.30091654606849977,0.002910435761376427,0.6961730181701238,810.4262316083236,0.1931724385771516
2.0,0.7,broadcast,0.825566811384467,0.9245111517904148,2.9234721337835663,654.9138078604718,0.0,0.6969287666827464,0.06228468199814489,0.30091654606849977,0.0007075092458594629,0.6983759446856408,811.7884941642499,0.19324576220470235
2.0,0.7,piggyback,0.8255024923621161,0.9245055678287324,2.9229212091976198,654.9775115667832,0.0,0.6960283003698344,0.15492911294207823,0.30091654606849977,0.0010451841132014794,0.6980382698182988,811.5515789371325,0.1929317512700921
2.0,0.7,oracle,0.8255989708956424,0.924512688479288,2.923637562309053,654.919905854246,0.0,0.6973629200836148,nan,0.30091654606849977,0.0005949509567454575,0.6984885029747547,811.9069517778087,0.19335595732960864
2.0,0.8,stepwise,0.8328670204212896,0.9275633671316452,3.048275542691751,838.6783724420997,0.0,0.0,nan,0.20102910435761376,0.16129602830036985,0.6376748673420164,838.6783724420997,0.0
2.0,0.8,skip_onu,0.8557806721337836,0.9295404708331336,3.3352620035375464,746.6505056877659,0.0,0.7989708956423862,nan,0.20102910435761376,0.0,0.7989708956423862,948.632566027969,0.21291917184113196
