peak_load,beta,policy,accuracy,mean_confidence,comm_MB_per_1k_queries,J_per_query,forwarded_on_arrival,skipped_on_escalation,olt_rate_error,final_user,final_onu,final_olt,J_stepwise_same_accuracy,saving_same_accuracy
2.0,0.1,stepwise,0.5011610588857037,0.8758456008182667,0.2550379386000032,35.16396029890577,0.0,0.0,nan,0.8994282785900741,0.0908348413753343,0.009736880034591548,35.16396029890577,0.0
2.0,0.1,skip_onu,0.5304677866213987,0.8793780163277122,0.4349496981246897,45.324532416437094,0.0,0.10057172140992585,nan,0.8994282785900741,0.0,0.10057172140992585,51.01555679635916,0.11155468522355161
2.0,0.1,schedule,0.51232323879378,0.8771803072847709,0.32405681981967555,34.79453942667146,0.0,0.039059622375606555,nan,0.8994282785900741,0.0556187242765402,0.044952997133385644,41.201426287280114,0.15550157938553244
2.0,0.1,broadcast,0.5106577198404946,0.8770171924343941,0.3136331374213282,34.506377754635984,0.0008808032926028538,0.03154877248050222,0.19395399360526686,0.8985955191134315,0.06245696074820236,0.03894752013836619,40.30057053004781,0.14377446024223695
2.0,0.1,piggyback,0.5024902711272681,0.8759861746287274,0.2621482311868424,35.13490863272966,0.0,0.003955607514052816,0.7446370410551754,0.8994282785900741,0.08724756978364268,0.01332415162628317,35.882912489773894,0.020845684063616643
2.0,0.1,oracle,0.5098249603638518,0.8769073459734217,0.3084088849030316,33.86689234625714,0.0,0.030251589449578016,nan,0.8994282785900741,0.0636420415418862,0.036929679868039654,39.850142651431625,0.15014376127859452
2.0,0.2,stepwise,0.54941306471502,0.8839307403435175,0.55500875998911,61.262791034876805,0.0,0.0,nan,0.7991127908652691,0.16094678346652147,0.039940425668209406,61.262791034876805,0.0
2.0,0.2,skip_onu,0.5948785292186474,0.8891104705520614,0.858623064234582,74.88470389966602,0.0,0.20088720913473088,nan,0.7991127908652691,0.0,0.20088720913473088,96.22779581552258,0.2217975766250866
2.0,0.2,schedule,0.5718014829524526,0.8865837169565921,0.7114759380555067,60.173777574436585,0.0,0.10390275931649665,nan,0.7991127908652691,0.07794308409269253,0.12294412504203833,78.39566629420368,0.2324348982682779
2.0,0.2,broadcast,0.5672052912255977,0.8860672787891462,0.6799498742853483,58.36703747694775,0.0010729785564434764,0.0802171580481399,0.19349856795237344,0.7982159729673463,0.09661611389587303,0.10516791313678074,74.87840220305432,0.22050904186405118
2.0,0.2,piggyback,0.556795797767564,0.8847827197829442,0.6041019810066781,61.62653824886656,0.0,0.03209326906138398,0.67852484305097,0.7991127908652691,0.13503515205867753,0.06585205707605336,66.9124730767579,0.07899775011794352
2.0,0.2,oracle,0.566324487932995,0.8859678046711696,0.6742234998318467,57.325136845112965,0.0,0.07943244238745736,nan,0.7991127908652691,0.09760901942571626,0.10327818970901462,74.20436204621392,0.2274694470196873
2.0,0.3,stepwise,0.5909389363099147,0.8915195361797048,0.8970304117355028,93.04072061101033,0.0,0.0,nan,0.7001585445926685,0.21014365100972088,0.08969780439761062,93.04072061101033,0.0
