peak_load,beta,policy,accuracy,mean_confidence,comm_MB_per_1k_queries,J_per_query,forwarded_on_arrival,skipped_on_escalation,olt_rate_error,final_user,final_onu,final_olt,J_stepwise_same_accuracy,saving_same_accuracy
2.0,0.1,stepwise,0.5017259541366178,0.8757401376310434,0.2551105745077384,21.842646394242504,0.0,0.0,nan,0.8994733003808444,0.09055992221051778,0.009966777408637873,21.842646394242504,0.0
2.0,0.1,skip_onu,0.5310428652459283,0.8792761279780901,0.43364706263673936,46.1576030130823,0.0,0.10052669961915565,nan,0.8994733003808444,0.0,0.10052669961915565,28.795958455526737,-0.6029194890098679
2.0,0.1,schedule,0.5017259541366178,0.8757401376310434,0.2551105745077384,21.842646394242504,0.0,0.0,nan,0.8994733003808444,0.09055992221051778,0.009966777408637873,21.842646394242504,0.0
2.0,0.1,broadcast,0.5020824892634308,0.8757851537448716,0.2581645895794506,22.272284860495354,0.0006806579693703913,0.00022688598979013047,0.18990203688913682,0.8988412608378575,0.0903168300785998,0.010841909083542663,21.92720850886286,-0.015737358975403293
2.0,0.1,piggyback,0.5017259541366178,0.8757401376310434,0.2551105745077384,21.842646394242504,0.0,0.0,0.5978832016522547,0.8994733003808444,0.09055992221051778,0.009966777408637873,21.842646394242504,0.0
2.0,0.1,oracle,0.5017259541366178,0.8757401376310434,0.2551105745077384,21.842646394242504,0.0,0.0,nan,0.8994733003808444,0.09055992221051778,0.009966777408637873,21.842646394242504,0.0
2.0,0.2,stepwise,0.5510412446317154,0.8837617530505387,0.5536393485130865,33.539124339233055,0.0,0.0,nan,0.7994489911676526,0.16050563163438944,0.040045377197958025,33.539124339233055,0.0
2.0,0.2,skip_onu,0.5963049995948464,0.8889996891802853,0.8569168786970262,75.72162356649424,0.0,0.20055100883234747,nan,0.7994489911676526,0.0,0.20055100883234747,53.6822902601189,-0.4105512860867746
2.0,0.2,schedule,0.5510412446317154,0.8837617530505387,0.5536393485130865,33.539124339233055,0.0,0.0,nan,0.7994489911676526,0.16050563163438944,0.040045377197958025,33.539124339233055,0.0
2.0,0.2,broadcast,0.5515274288955514,0.8838302964262741,0.5577728222996515,34.08628351829769,0.0007616886800097237,0.000632039542986792,0.19023555153362018,0.7987521270561543,0.1597925613807633,0.04145531156308241,33.752660938993536,-0.009884334153895669
2.0,0.2,piggyback,0.5510574507738433,0.8837621393056103,0.5536682602706425,33.548775809359995,0.0,1.6206142127866463e-05,0.5572114226739224,0.7994489911676526,0.16048942549226156,0.040061583340085895,33.546242225891724,-7.552510505370869e-05
2.0,0.2,oracle,0.5510412446317154,0.8837617530505387,0.5536393485130865,33.539124339233055,0.0,0.0,nan,0.7994489911676526,0.16050563163438944,0.040045377197958025,33.539124339233055,0.0
2.0,0.3,stepwise,0.5937282229965157,0.8913470205809945,0.8948787618507413,52.287637798204784,0.0,0.0,nan,0.700008103071064,0.20978850984523134,0.09020338708370472,52.287637798204784,0.0
2.0,0.3,skip_onu,0.6465764524754882,0.8974731300367433,1.2773895794506118,104.78891183143952,0.0,0.2999918969289361,nan,0.700008103071064,0.0,0.2999918969289361,81.21238921292993,-0.2903069697493388
2.0,0.3,schedule,0.5937282229965157,0.8913470205809945,0.8948787618507413,52.287637798204784,0.0,0.0,nan,0.700008103071064,0.20978850984523134,0.09020338708370472,52.287637798204784,0.0
2.0,0.3,broadcast,0.594052345839073,0.8914141944336084,0.899657791102828,52.79666058985778,0.000842719390649056,0.0020257677659833075,0.18995213509134373,0.6994570942387165,0.20834616319585123,0.0921967425654323,52.46306578083544,-0.00635866021280429
2.0,0.3,piggyback,0.5937282229965157,0.8913470205809945,0.8948787618507413,52.287637798204784,0.0,0.0,0.516838881231576,0.700008103071064,0.20978850984523134,0.09020338708370472,52.287637798204784,0.0
2.0,0.3,oracle,0.5937282229965157,0.8913470205809945,0.8948787618507413,52.287637798204784,0.0,0.0,nan,0.700008103071064,0.20978850984523134,0.09020338708370472,52.287637798204784,0.0
2.0,0.4,stepwise,0.6385382059800665,0.8994216481508547,1.2705041406693138,76.54055639690084,0.0,0.0,nan,0.5998379385787214,0.24053156146179402,0.15963049995948464,76.54055639690084,0.0
2.0,0.4,skip_onu,0.6930070496718256,0.9053219243833979,1.694973502957621,133.50302288557722,0.0,0.4001620614212787,nan,0.5998379385787214,0.0,0.4001620614212787,108.54836050804398,-0.22989441996854465
2.0,0.4,schedule,0.6385382059800665,0.8994223774948007,1.2705442022526539,76.54018735813784,0.0,1.6206142127866463e-05,nan,0.5998379385787214,0.24051535531966614,0.15964670610161252,76.54055639690084,4.8214800149049e-06
2.0,0.4,broadcast,0.6395753990762499,0.8995569763240332,1.2798299651567946,77.22708286297075,0.0011830483753342517,0.005607325176241795,0.1894020791545634,0.5991572806093509,0.23664208735110606,0.164200632039543,77.14337353445298,-0.0010851136615173118
2.0,0.4,piggyback,0.6385382059800665,0.8994216481508547,1.2705041406693138,76.54055639690084,0.0,0.0,0.4847409028103903,0.5998379385787214,0.24053156146179402,0.15963049995948464,76.54055639690084,0.0
2.0,0.4,oracle,0.638959565675391,0.8994606628602985,1.2729834211166033,76.61854503762453,0.0,0.0024309213191799693,nan,0.5998379385787214,0.2390892148124139,0.16107284660886476,76.7854508590314,0.0021736646661525416
2.0,0.5,stepwise,0.6886151851551738,0.9070234537796102,1.6662847095049023,105.64532131934027,0.0,0.0,nan,0.5001377522080869,0.249396321205737,0.25046592658617617,105.64532131934027,0.0
2.0,0.5,skip_onu,0.7403776031115793,0.9123194779719493,2.104376112146504,161.84711889620965,0.0,0.49986224779191313,nan,0.5001377522080869,0.0,0.49986224779191313,139.8604769234724,-0.1572041112427187
2.0,0.5,schedule,0.6910299003322259,0.9072750645789351,1.686060059962726,106.59199440898205,0.0,0.022785835831780246,nan,0.5001377522080869,0.237987197147719,0.26187505064419414,107.24145725704082,0.006056080033508993
2.0,0.5,broadcast,0.6903978607892391,0.9072426909709992,1.6832765902276963,106.46163267707361,0.001863706344704643,0.014099343651243821,0.18811750584276377,0.49910055911190343,0.24187667125840695,0.2590227696296897,106.82367670958902,0.0033891740451853503
2.0,0.5,piggyback,0.6886313912973017,0.9070235976650302,1.6663268130621505,105.64294345229843,0.0,8.103071063933231e-05,0.4491100033429642,0.5001377522080869,0.24936390892148125,0.2504983388704319,105.65603364106978,0.00012389437990667496
2.0,0.5,oracle,0.6901223563730654,0.9071856160145425,1.6790074062069524,105.99136592310707,0.0,0.01469897090997488,nan,0.5001377522080869,0.24216838181670852,0.2576938659752046,106.64156724018694,0.006097072032103967
2.0,0.6,stepwise,0.7409610242281824,0.9143127359144775,2.098237063447046,140.24612050573558,0.0,0.0,nan,0.4007616886800097,0.24007778948221375,0.3591605218377765,140.24612050573558,0.0
2.0,0.6,skip_onu,0.782999756907868,0.9185988995332709,2.5137189530832185,189.9770370432314,0.0,0.5992383113199903,nan,0.4007616886800097,0.0,0.5992383113199903,176.41897667165927,-0.07685148518237694
2.0,0.6,schedule,0.7488047970180699,0.9151526028715052,2.177983080787618,143.24183308000806,0.0,0.11452880641763229,nan,0.4007616886800097,0.19432785025524674,0.40491046106474354,146.9954120956767,0.02553534809117375
2.0,0.6,broadcast,0.7452394457499393,0.9147511967955488,2.1393382383923507,141.4675451615636,0.004861842638359939,0.044647921562272104,0.1872073912242611,0.39857385949274776,0.2211652216189936,0.38026091888825864,143.92755228206713,0.017091981913806453
2.0,0.6,piggyback,0.7417389190503201,0.9143938360483663,2.1059654809172677,140.42192620836644,1.6206142127866463e-05,0.011295681063122924,0.41205324251168585,0.4007616886800097,0.2354104205493882,0.36382789077060207,140.91547173779588,0.003502422575342168
2.0,0.6,oracle,0.7462928449882505,0.9148650941085309,2.1487726440320882,141.0938737810997,0.004813224211976339,0.05947654160926991,nan,0.39870350862977066,0.21534721659508954,0.3859492747751398,144.83396540881537,0.025823304755612564
2.0,0.7,stepwise,0.7888501742160279,0.9211864208854653,2.5664657321124706,181.4530557294459,0.0,0.0,nan,0.2999918969289361,0.21017745725630013,0.4898306458147638,181.4530557294459,0.0
2.0,0.7,skip_onu,0.8245198930394619,0.9243800533186222,2.927676719876833,219.18471175142463,0.0,0.700008103071064,nan,0.2999918969289361,0.0,0.700008103071064,218.89714848239453,-0.0013136912519133848
2.0,0.7,schedule,0.8124625232963293,0.923536724828471,2.8219306377116924,192.7961240366122,0.060692002268859895,0.3137022931691111,nan,0.2819868730248764,0.10389757718175188,0.6141155497933717,206.23999036872175,0.0651855457715752
2.0,0.7,broadcast,0.8187018880155579,0.92390637095212,2.8677766145369095,208.77134539102892,0.021862085730491858,0.5161494206304189,0.1892124821097644,0.29329876023012724,0.05040110201766469,0.6563001377522081,212.78972944636155,0.018884295148021035
2.0,0.7,piggyback,0.7957215784782432,0.9217894788438185,2.636729794992302,184.31296240736108,0.004181184668989547,0.12230775463900818,0.38034818631673656,0.2986791994165789,0.17264403208816143,0.5286767684952597,188.66627486949594,0.02307414223949733
2.0,0.7,oracle,0.8063041892877401,0.9228936392459105,2.7516431083380604,187.2704622656193,0.04048294303541042,0.2466736893282554,nan,0.28780487804878047,0.1307187424033709,0.5814763795478486,199.77531283754482,0.06259457384553979
2.0,0.8,stepwise,0.8312778543067822,0.9273001059993585,3.0494517137995296,225.9912814573966,0.0,0.0,nan,0.20066445182724252,0.1609107851875861,0.6384247629851714,225.9912814573966,0.0
2.0,0.8,skip_onu,0.8545498744023985,0.9292788406516904,3.3343736812251845,248.01872847040795,0.0,0.7993355481727574,nan,0.20066445182724252,0.0,0.7993355481727574,256.43860273092014,0.032833879809223254
2.0,0.8,schedule,0.8778867190665263,0.9321438073247157,3.658150004051536,249.7681449526404,0.44878048780487806,0.3283364395105745,nan,0.11036382789077061,0.02665910380034033,0.8629770683088891,nan,nan
2.0,0.8,broadcast,0.8674499635361802,0.9307705836191189,3.5035458714852927,251.00718587555286,0.20677416740944818,0.6299165383680415,0.1902292923702467,0.15877157442670772,0.0008265132485211895,0.8404019123247711,273.3160872251574,0.0816230818174507
2.0,0.8,piggyback,0.8630094805931448,0.9303399134716226,3.4532469653998863,250.12829348567803,0.1595170569645896,0.6408718904464792,0.3086753277883109,0.16841422899278827,0.007244145531156309,0.8243416254760554,267.50650085402543,0.06496368242591033
2.0,0.8,oracle,0.8718580341949599,0.9313748156882345,3.574315857710072,250.91859268388015,0.30869459525160037,0.5226318774815655,nan,0.13835183534559597,0.008540636901385625,0.8531075277530183,nan,nan
2.0,0.9,stepwise,0.8716635604894255,0.9328270955752442,3.591872911433433,278.82883341674244,0.0,0.0,nan,0.10078599789320153,0.09085163276881938,0.8083623693379791,278.82883341674244,0.0
2.0,0.9,skip_onu,0.8853253383032169,0.9335575991398944,3.7417280933473784,275.7784250278648,0.0,0.8992140021067985,nan,0.10078599789320153,0.0,0.8992140021067985,nan,nan
2.0,0.9,schedule,0.9159711530670124,0.9363190310280681,4.149910380034033,289.98909028004107,0.989563244469654,0.0059476541609269915,nan,0.0010047808119277206,0.00045377197958026093,0.998541447208492,nan,nan
2.0,0.9,broadcast,0.9159225346406288,0.9363162509998447,4.1480149420630426,290.00323640658723,0.9844745158415039,0.010777084515031198,0.19024202100999343,0.001507171217891581,0.000421359695324528,0.9980714690867839,nan,nan
2.0,0.9,piggyback,0.9161818329146747,0.9363354091452678,4.151358496070011,290.1774253104354,0.994781622234827,0.00132890365448505,0.2797613273069212,0.0006158334008589256,0.00043756583745239443,0.9989466007616887,nan,nan
2.0,0.9,oracle,0.9158739162142452,0.936307027183403,4.147253934041001,289.8840064669928,0.9847014018312941,0.010355724819706669,nan,0.0017016449234259785,0.00043756583745239443,0.9978607892391216,nan,nan
4.0,0.1,stepwise,0.5017259541366178,0.8757401376310434,0.2551105745077384,20.61513016643237,0.0,0.0,nan,0.8994733003808444,0.09055992221051778,0.009966777408637873,20.61513016643237,0.0
4.0,0.1,skip_onu,0.5310428652459283,0.8792761279780901,0.43364706263673936,30.218870747160345,0.0,0.10052669961915565,nan,0.8994733003808444,0.0,0.10052669961915565,25.010909680590824,-0.20822757480952592
4.0,0.1,schedule,0.5380439186451665,0.8808619013004457,0.5678242605947654,21.641689097800562,0.06931366988088486,0.026027064257353537,nan,0.8371930961834535,0.06077303297949923,0.10203387083704724,26.060648072031647,0.1695644314760354
4.0,0.1,broadcast,0.5345433919455473,0.880515544759816,0.5535808767522892,21.161545697901975,0.06978364800259299,0.01680576938659752,0.2658669151409069,0.8368527671987683,0.06900575318045539,0.09414147962077628,25.535778876311227,0.17129820866623713
4.0,0.1,piggyback,0.5020014585527915,0.8757775817195805,0.25722943035410417,20.671337101835576,0.00034032898468519567,0.0005510088323474597,1.929203536903855,0.8991977959646706,0.08999270723604245,0.01080949679928693,20.65643931609555,-0.0007212175105326679
4.0,0.1,oracle,0.5212057369743133,0.8785102717378422,0.42156298517137997,20.42421104232324,0.03500526699619156,0.01886394943683656,nan,0.8679847662263998,0.07054533668260271,0.06146989709099749,23.535930042617252,0.13221143140124592
4.0,0.2,stepwise,0.5510412446317154,0.8837617530505387,0.5536393485130865,28.009467956141695,0.0,0.0,nan,0.7994489911676526,0.16050563163438944,0.040045377197958025,28.009467956141695,0.0
4.0,0.2,skip_onu,0.5963049995948464,0.8889996891802853,0.8569168786970262,43.90685369805028,0.0,0.20055100883234747,nan,0.7994489911676526,0.0,0.20055100883234747,39.114401088214116,-0.12252399312027862
4.0,0.2,schedule,0.6130945628393161,0.8924640446460469,1.1292716959727738,29.56738671990768,0.13987521270561543,0.04983388704318937,nan,0.6877562596223968,0.09807957215784782,0.21416416821975529,44.415191026683786,0.33429563092176795
4.0,0.2,broadcast,0.5917348675147881,0.8894666844744353,0.9353307511546876,28.065079045861662,0.09047889149987845,0.0395267806498663,0.2650577779957786,0.7276881938254598,0.11376711773762256,0.1585446884369176,37.82028519752357,0.2579358167373277
4.0,0.2,piggyback,0.5524997974232234,0.8839152336231543,0.5626722956000324,28.144451128485315,0.000421359695324528,0.005250790049428734,1.7035064361436314,0.7990924560408394,0.15624341625476054,0.04466412770439997,28.3611101511733,0.007639299785273779
4.0,0.2,oracle,0.5871809415768576,0.8887023390777302,0.8805199254517462,27.449673199940275,0.07390000810307107,0.04258974151203306,nan,0.7406693136698809,0.11413985900656348,0.14519082732355562,36.72238012192488,0.2525083311919749
4.0,0.3,stepwise,0.5937282229965157,0.8913470205809945,0.8948787618507413,38.30086286406678,0.0,0.0,nan,0.700008103071064,0.20978850984523134,0.09020338708370472,38.30086286406678,0.0
4.0,0.3,skip_onu,0.6465764524754882,0.8974731300367433,1.2773895794506118,57.88376228216977,0.0,0.2999918969289361,nan,0.700008103071064,0.0,0.2999918969289361,54.91073117614248,-0.05414298885386204
4.0,0.3,schedule,0.6571428571428571,0.9000337449821022,1.5019197471841828,39.41835357991006,0.15716716635604894,0.07671987683331982,nan,0.5900170164492342,0.12339356616157524,0.2865894173891905,58.14771368334305,0.3220996822923785
4.0,0.3,broadcast,0.6424438862328823,0.8979633641605517,1.3632445020662831,38.17041475827672,0.11950409205088729,0.06265294546633174,0.2627164408281591,0.6163195851227615,0.1410096426545661,0.2426707722226724,53.64473341642446,0.2884592330439273
4.0,0.3,piggyback,0.5980390568025281,0.8918576895063366,0.9294642573535369,38.480616132399696,0.003403289846851957,0.018896361721092294,1.5314357323566774,0.697560975609756,0.19596467061016126,0.10647435378008265,39.66187649691707,0.029783269700040305
4.0,0.3,oracle,0.6428004213596953,0.8981305333090613,1.3713526942711287,37.252148527454054,0.12315047402965724,0.061388866380358155,nan,0.6137752208086865,0.14107446722307754,0.24515031196823597,53.753956752556974,0.30698778698403373
4.0,0.4,stepwise,0.6385382059800665,0.8994216481508547,1.2705041406693138,52.44824141606352,0.0,0.0,nan,0.5998379385787214,0.24053156146179402,0.15963049995948464,52.44824141606352,0.0
4.0,0.4,skip_onu,0.6930070496718256,0.9053219243833979,1.694973502957621,72.0150632122702,0.0,0.4001620614212787,nan,0.5998379385787214,0.0,0.4001620614212787,69.30186363073622,-0.03915045627042346
4.0,0.4,schedule,0.7219512195121951,0.9103365045873021,2.10828720525079,54.68239730150403,0.2515031196823596,0.10715501174945305,nan,0.4491208167895632,0.11503119682359614,0.43584798638684064,79.27122458525743,0.31018604055129406
4.0,0.4,broadcast,0.6948869621586581,0.9067743896646037,1.8375802609188883,51.281928612446336,0.16377927234421846,0.08808038246495421,0.26035487540463653,0.5014828620046998,0.14781622234827,0.3507009156470302,69.94936971736804,0.26687075495244506
4.0,0.4,piggyback,0.6506279880074548,0.9008207413096171,1.3777142533020015,52.663736757983536,0.01910704156875456,0.04863463252572725,1.4357449515203633,0.5880884855360181,0.206920022688599,0.20499149177538287,56.151905450375814,0.06212021950840019
4.0,0.4,oracle,0.6997812170812738,0.9075561254618182,1.8936439510574508,50.449075595888694,0.18431245442022526,0.08649218053642331,nan,0.488955514139859,0.14415363422737218,0.3668908516327688,71.63511832221992,0.29574939251213184
4.0,0.5,stepwise,0.6886151851551738,0.9070234537796102,1.6662847095049023,67.78915544558772,0.0,0.0,nan,0.5001377522080869,0.249396321205737,0.25046592658617617,67.78915544558772,0.0
